epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.661,1.12626,1.01169,1.1464,0.65772,0.56178,0.60361,0.37761,1.25906,1.25305,1.27159,0.000415946,0.000415946,0.000415946
2,578.845,1.25705,1.21622,1.23156,0.61927,0.52734,0.53811,0.32435,1.32944,1.42222,1.29691,0.000832409,0.000832409,0.000832409
3,865.991,1.279,1.23379,1.24402,0.657,0.57851,0.61861,0.38656,1.26734,1.25074,1.26285,0.00124806,0.00124806,0.00124806
4,1152.32,1.24148,1.15394,1.21892,0.70026,0.58956,0.64821,0.41123,1.22212,1.17959,1.23617,0.00124725,0.00124725,0.00124725
5,1438.65,1.20809,1.1017,1.20514,0.698,0.5894,0.66151,0.42307,1.20297,1.13083,1.24417,0.00124512,0.00124512,0.00124512
6,1725.06,1.17768,1.04158,1.18413,0.73988,0.57811,0.66008,0.42165,1.23126,1.11129,1.23926,0.00124238,0.00124238,0.00124238
7,2011.34,1.16571,1.0003,1.17329,0.6966,0.64414,0.6939,0.44832,1.18384,1.07133,1.21791,0.00123904,0.00123904,0.00123904
8,2297.92,1.14411,0.96959,1.15538,0.68956,0.66142,0.69839,0.44676,1.15474,1.04633,1.18963,0.0012351,0.0012351,0.0012351
9,2584.02,1.10884,0.92647,1.14047,0.72702,0.64835,0.7063,0.45674,1.1338,1.01941,1.1897,0.00123056,0.00123056,0.00123056
10,2870.29,1.10045,0.91225,1.1402,0.71767,0.6557,0.71215,0.46185,1.14681,0.98977,1.18956,0.00122543,0.00122543,0.00122543
11,3156.86,1.08755,0.89414,1.12535,0.73202,0.63761,0.70918,0.46398,1.13458,1.01475,1.18292,0.00121972,0.00121972,0.00121972
12,3443.69,1.07573,0.85099,1.12056,0.71575,0.67315,0.71295,0.46869,1.13478,1.02695,1.18307,0.00121342,0.00121342,0.00121342
13,3730.06,1.05198,0.82988,1.108,0.73473,0.67063,0.73534,0.48342,1.14262,0.9553,1.18671,0.00120655,0.00120655,0.00120655
14,4016.49,1.03833,0.80626,1.10159,0.69941,0.69275,0.73552,0.4861,1.1276,0.9748,1.17967,0.00119911,0.00119911,0.00119911
15,4303,1.03199,0.81288,1.09748,0.72226,0.69591,0.73651,0.48858,1.11015,0.95191,1.16418,0.00119111,0.00119111,0.00119111
16,4589.53,1.01728,0.77035,1.08509,0.78415,0.65989,0.74058,0.49316,1.11107,0.95206,1.16669,0.00118256,0.00118256,0.00118256
17,4875.98,0.99425,0.74899,1.07628,0.75529,0.67417,0.73756,0.48814,1.10134,0.98631,1.16469,0.00117346,0.00117346,0.00117346
18,5161.98,0.99496,0.74546,1.07762,0.74604,0.68418,0.7376,0.49608,1.11094,0.9333,1.16833,0.00116383,0.00116383,0.00116383
19,5448.52,0.98109,0.73005,1.0704,0.77158,0.67595,0.73807,0.49336,1.10101,0.9551,1.16602,0.00115368,0.00115368,0.00115368
20,5734.57,0.97059,0.70996,1.06392,0.75079,0.68016,0.73395,0.48948,1.08282,0.96281,1.14838,0.00114301,0.00114301,0.00114301
21,6020.7,0.95749,0.68582,1.05982,0.77635,0.68506,0.7573,0.50873,1.0858,0.88275,1.15625,0.00113183,0.00113183,0.00113183
22,6307.5,0.95597,0.68347,1.0522,0.74356,0.70626,0.7452,0.49752,1.09735,0.94389,1.15967,0.00112016,0.00112016,0.00112016
23,6593.88,0.93927,0.66729,1.04276,0.75954,0.70299,0.75703,0.50921,1.09339,0.91395,1.16701,0.00110801,0.00110801,0.00110801
24,6880.17,0.93172,0.66155,1.03779,0.74988,0.71407,0.76281,0.51543,1.09163,0.89719,1.15519,0.00109538,0.00109538,0.00109538
25,7166.95,0.92255,0.6475,1.03482,0.77486,0.69651,0.7527,0.50026,1.10517,0.94255,1.16388,0.0010823,0.0010823,0.0010823
26,7453.42,0.92257,0.64729,1.03697,0.75514,0.69061,0.75028,0.50402,1.08422,0.90573,1.15317,0.00106877,0.00106877,0.00106877
27,7739.87,0.90002,0.61732,1.0211,0.77978,0.69605,0.75423,0.50621,1.08008,0.91216,1.15604,0.00105481,0.00105481,0.00105481
28,8026.26,0.90035,0.61305,1.01845,0.78319,0.70496,0.75724,0.51443,1.07856,0.88563,1.14891,0.00104044,0.00104044,0.00104044
29,8312.44,0.88755,0.60961,1.01379,0.79605,0.67799,0.75235,0.51158,1.08885,0.90953,1.15137,0.00102566,0.00102566,0.00102566
30,8599.13,0.87293,0.58727,1.01138,0.79584,0.68668,0.7585,0.51798,1.06976,0.9198,1.14567,0.00101049,0.00101049,0.00101049
31,8885.54,0.86917,0.59058,1.01104,0.82185,0.69128,0.77027,0.52855,1.06501,0.90134,1.14455,0.000994942,0.000994942,0.000994942
32,9172.1,0.85351,0.57021,1.00041,0.76058,0.71887,0.7571,0.52216,1.05283,0.90157,1.13489,0.000979039,0.000979039,0.000979039
33,9458.3,0.85046,0.56525,0.99562,0.7912,0.69748,0.76516,0.51941,1.07842,0.87517,1.15032,0.000962793,0.000962793,0.000962793
34,9744.43,0.85467,0.57032,0.99766,0.80396,0.69795,0.76065,0.52188,1.06672,0.90873,1.14947,0.000946219,0.000946219,0.000946219
35,10030.8,0.83345,0.54623,0.9837,0.80046,0.67699,0.75214,0.51429,1.07725,0.88788,1.15042,0.000929335,0.000929335,0.000929335
